query_id;dop;actual_time_ms;q_error_mapping_time;q_error_thread_wise_time;actual_memory_kb;q_error_mapping_memory;q_error_thread_wise_memory
1;64;3798.518;0.01883418743836418;0.018984599730737184;2705408;0.0006313280658591935;8.37087120372423
3;64;4854.965999999999;0.466976481377124;0.0268450077714244;8381440;0.23289733029169213;1.1784606491529117
4;64;3830.61;0.09409729111803289;0.23225710215866413;4354048;0.28346655801681564;6.168880092993542
5;64;4840.920999999999;0.04478094147787193;0.29359023636204795;6830080;0.37434422437218884;6.714205039587075
6;64;2548.248;0.004691066175662728;0.004881000593348839;828416;0.26912686379789874;10.505777777777778
7;64;3680.755;0.006394340291597578;0.5031343603418321;11810816;0.06283181449952324;1.9776867921864443
8;64;2805.281;0.14644593536262507;0.703504410431611;7756800;0.28110135622937293;3.494069552400684
10;64;3069.99;0.060147752924276654;0.9755235105000339;11957248;0.05299262840412777;1.0453445727735509
11;64;3993.0449999999996;0.06100407082815251;0.5722697840870814;1422336;0.18060219244960396;1.4439014835204484
12;64;8180.789000000001;0.029596016930060864;0.22710108554321584;5629952;0.15539635151418696;0.9303266154194296
13;64;2680.734;0.10345608253567362;0.03452278592355684;4697088;0.33869388863908867;2.583741395595827
14;64;2789.684;0.06378303062282309;0.2046631446429057;4101120;0.16235979439762804;2.377993031703279
15;64;25545.626;0.09334686102427092;0.0007260521488308136;189440;0.0564707719419566;0.0564707719419566
16;64;926.8900000000001;0.33409886399586863;0.25636278307026705;4573184;0.21498172826634576;8.194418028617555
17;64;15447.676000000001;0.08506221924181334;0.21150806114783838;45911040;0.01797598137615708;0.1553146010691664
18;64;8168.0;0.038941189696033884;0.12293422012732624;28186624;0.1314017599269781;1.4512680591780374
19;64;2470.2439999999997;0.13690874261813835;0.25679447050574766;4066304;0.06863112054583231;4.3472127797510165
20;64;2991.541;0.22560590150958681;0.29341254891709645;12651520;0.09887230941420477;0.46262781715672485
21;64;8889.359999999999;0.4748726765561391;0.8617339808490148;53788672;0.0637674229994003;0.9381025597565749
22;64;11987.602;0.13632849439248584;0.02121030865104423;2888704;0.3297343722305921;9.332224535198975
